x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,s_m
74.0548,26.6429,0.0,-0.128,0,0.0,308.608
74.4075,23.6918,0.0,-0.168525,0,0.0,311.58
73.1739,20.9826,0.0,-0.129826,0,0.0,314.557
70.9159,19.0067,0.0,-0.0580753,0,0.0,317.558
68.3699,17.4028,0.0,0.018966,0,0.0,320.567
65.8917,15.7054,0.0,0.0707185,0,0.0,323.57
64.0561,13.3482,0.0,0.0575674,0,0.0,326.558
62.6912,10.6653,0.0,0.0158344,0,0.0,329.568
61.3238,7.9837,0.0,0.000493784,0,0.0,332.578
59.9624,5.29907,0.0,0.000676808,0,0.0,335.588
58.6075,2.61113,0.0,0.000350748,0,0.0,338.599
57.2555,-0.078237,0.0,-0.000108006,0,0.0,341.609
55.9025,-2.76716,0.0,-0.000494751,0,0.0,344.619
54.545,-5.45378,0.0,-0.00060389,0,0.0,347.629
53.1816,-8.13737,0.0,-0.00035358,0,0.0,350.639
51.8151,-10.8194,0.0,6.56842e-05,0,0.0,353.649
50.4492,-13.5018,0.0,0.000505719,0,0.0,356.659
49.0873,-16.1862,0.0,0.00107683,0,0.0,359.669
47.7331,-18.8745,0.0,0.00200246,0,0.0,362.679
46.3943,-21.5705,0.0,-0.00038948,0,0.0,365.689
45.0821,-24.2795,0.0,-0.00732549,0,0.0,368.7
43.6895,-26.947,0.0,-0.0116076,0,0.0,371.709
42.1963,-29.5606,0.0,-0.0107769,0,0.0,374.719
40.6156,-32.122,0.0,-0.00584977,0,0.0,377.729
38.9735,-34.6447,0.0,-0.00839494,0,0.0,380.739
37.3609,-37.1864,0.0,-0.0491,0,0.0,383.749
35.5068,-39.547,0.0,-0.108895,0,0.0,386.75
32.8962,-40.9809,0.0,-0.138509,0,0.0,389.729
29.92,-41.3002,0.0,-0.147318,0,0.0,392.722
27.1274,-40.2694,0.0,-0.139101,0,0.0,395.699
25.0373,-38.1331,0.0,-0.0853667,0,0.0,398.688
23.6931,-35.4412,0.0,-0.0128113,0,0.0,401.697
22.2406,-32.8053,0.0,0.0231268,0,0.0,404.706
20.5949,-30.2863,0.0,0.0266831,0,0.0,407.715
18.7345,-27.921,0.0,0.022087,0,0.0,410.724
16.7117,-25.6924,0.0,0.0117769,0,0.0,413.734
14.6076,-23.5399,0.0,0.000101041,0,0.0,416.744
12.5095,-21.3816,0.0,-0.0075045,0,0.0,419.754
10.4777,-19.1609,0.0,0.0412747,0,0.0,422.764
8.50661,-16.8859,0.0,0.191023,0,0.0,425.774
5.8796,-16.2384,0.0,0.163917,0,0.0,428.48
3.56514,-18.1399,0.0,-0.110216,0,0.0,431.475
0.735252,-18.2237,0.0,-0.21478,0,0.0,434.306
-1.37191,-16.0893,0.0,-0.112478,0,0.0,437.306
-3.0566,-13.5998,0.0,-0.0624995,0,0.0,440.312
-4.25022,-10.8414,0.0,-0.0981835,0,0.0,443.317
-4.88692,-7.90806,0.0,-0.138464,0,0.0,446.319
-3.75141,-5.19658,0.0,-0.0902662,0,0.0,449.258
-1.99323,-2.75333,0.0,-0.0191161,0,0.0,452.269
-0.228053,-0.315124,0.0,-0.000318969,0,0.0,455.279
