x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,s_m
460.239,204.7,0.0,0.000672456,0,0.0,318.07
462.854,206.172,0.0,0.00118045,0,0.0,321.07
465.46,207.658,0.0,0.00166412,0,0.0,324.071
468.061,209.156,0.0,0.00178391,0,0.0,327.072
470.652,210.669,0.0,0.00186424,0,0.0,330.072
473.236,212.195,0.0,0.00194891,0,0.0,333.073
475.809,213.737,0.0,0.00215701,0,0.0,336.074
478.375,215.294,0.0,0.0023927,0,0.0,339.074
480.927,216.872,0.0,0.00218705,0,0.0,342.075
483.468,218.467,0.0,0.00200025,0,0.0,345.075
486.003,220.074,0.0,0.00196524,0,0.0,348.076
488.524,221.701,0.0,0.00170731,0,0.0,351.077
491.04,223.335,0.0,0.00154756,0,0.0,354.077
493.546,224.986,0.0,0.00143281,0,0.0,357.078
496.047,226.644,0.0,0.0012492,0,0.0,360.079
498.54,228.315,0.0,0.00105067,0,0.0,363.079
501.03,229.989,0.0,0.00129298,0,0.0,366.08
503.512,231.675,0.0,0.00149472,0,0.0,369.081
505.986,233.373,0.0,0.00139245,0,0.0,372.081
508.454,235.079,0.0,0.00204569,0,0.0,375.082
510.913,236.799,0.0,0.00339935,0,0.0,378.083
513.354,238.544,0.0,0.0046907,0,0.0,381.083
515.77,240.324,0.0,0.00634137,0,0.0,384.084
518.155,242.145,0.0,0.00907213,0,0.0,387.084
520.489,244.031,0.0,0.0125969,0,0.0,390.085
522.751,246.002,0.0,0.0169258,0,0.0,393.085
524.912,248.082,0.0,0.0223357,0,0.0,396.085
526.931,250.302,0.0,0.0287714,0,0.0,399.085
528.752,252.685,0.0,0.0366023,0,0.0,402.085
530.305,255.25,0.0,0.0458939,0,0.0,405.083
531.492,258.003,0.0,0.0557993,0,0.0,408.081
532.203,260.913,0.0,0.065126,0,0.0,411.077
532.331,263.905,0.0,0.071336,0,0.0,414.072
531.806,266.852,0.0,0.0713504,0,0.0,417.066
530.653,269.616,0.0,0.0647044,0,0.0,420.06
528.979,272.101,0.0,0.0544153,0,0.0,423.056
526.926,274.286,0.0,0.0436682,0,0.0,426.054
524.603,276.182,0.0,0.0335811,0,0.0,429.053
522.104,277.842,0.0,0.025567,0,0.0,432.053
519.489,279.312,0.0,0.0201315,0,0.0,435.053
516.79,280.622,0.0,0.0156243,0,0.0,438.053
514.032,281.803,0.0,0.0121656,0,0.0,441.053
511.236,282.893,0.0,0.0103351,0,0.0,444.054
508.407,283.891,0.0,0.00875721,0,0.0,447.054
505.552,284.816,0.0,0.00775119,0,0.0,450.055
502.679,285.68,0.0,0.00740212,0,0.0,453.055
499.785,286.473,0.0,0.00677755,0,0.0,456.056
496.877,287.213,0.0,0.00617229,0,0.0,459.057
493.954,287.894,0.0,0.00552607,0,0.0,462.057
491.022,288.531,0.0,0.00509415,0,0.0,465.058
488.08,289.121,0.0,0.00490874,0,0.0,468.059
485.13,289.669,0.0,0.00436029,0,0.0,471.059
482.172,290.174,0.0,0.00387504,0,0.0,474.06
479.21,290.652,0.0,0.00385846,0,0.0,477.06
476.241,291.09,0.0,0.00361661,0,0.0,480.061
473.268,291.498,0.0,0.00334445,0,0.0,483.062
470.292,291.876,0.0,0.00336757,0,0.0,486.062
467.311,292.224,0.0,0.00362859,0,0.0,489.063
464.328,292.542,0.0,0.0036776,0,0.0,492.064
461.34,292.821,0.0,0.00361905,0,0.0,495.064
458.35,293.077,0.0,0.00385503,0,0.0,498.065
455.357,293.288,0.0,0.00371551,0,0.0,501.066
452.362,293.473,0.0,0.00363186,0,0.0,504.066
449.365,293.621,0.0,0.00385132,0,0.0,507.067
446.367,293.738,0.0,0.00391823,0,0.0,510.068
443.367,293.816,0.0,0.00362263,0,0.0,513.068
440.367,293.863,0.0,0.00334357,0,0.0,516.069
437.366,293.88,0.0,0.00334253,0,0.0,519.069
434.366,293.867,0.0,0.0036212,0,0.0,522.07
431.365,293.824,0.0,0.00362317,0,0.0,525.071
428.366,293.741,0.0,0.00315093,0,0.0,528.071
425.367,293.637,0.0,0.00335095,0,0.0,531.072
422.369,293.501,0.0,0.00373392,0,0.0,534.073
419.374,293.33,0.0,0.00372266,0,0.0,537.073
416.38,293.127,0.0,0.0037317,0,0.0,540.074
413.389,292.889,0.0,0.00382746,0,0.0,543.075
410.4,292.619,0.0,0.00372687,0,0.0,546.075
407.415,292.311,0.0,0.003644,0,0.0,549.076
404.433,291.977,0.0,0.00410433,0,0.0,552.077
401.456,291.602,0.0,0.00392688,0,0.0,555.077
398.484,291.188,0.0,0.00338863,0,0.0,558.078
395.515,290.753,0.0,0.00366415,0,0.0,561.078
392.552,290.279,0.0,0.00341101,0,0.0,564.079
389.595,289.774,0.0,0.00308484,0,0.0,567.08
386.64,289.248,0.0,0.0033173,0,0.0,570.08
383.693,288.685,0.0,0.00314508,0,0.0,573.081
380.75,288.1,0.0,0.00312711,0,0.0,576.082
377.813,287.485,0.0,0.00321063,0,0.0,579.082
374.882,286.842,0.0,0.00311456,0,0.0,582.083
371.957,286.172,0.0,0.00306651,0,0.0,585.084
369.039,285.474,0.0,0.00331283,0,0.0,588.084
366.127,284.751,0.0,0.00384636,0,0.0,591.085
363.224,283.991,0.0,0.00425479,0,0.0,594.085
360.331,283.196,0.0,0.00494977,0,0.0,597.086
357.449,282.359,0.0,0.00610967,0,0.0,600.087
354.583,281.47,0.0,0.00730077,0,0.0,603.087
351.738,280.517,0.0,0.00905702,0,0.0,606.088
348.917,279.494,0.0,0.0115377,0,0.0,609.088
346.136,278.367,0.0,0.0138485,0,0.0,612.089
343.403,277.131,0.0,0.0166377,0,0.0,615.089
340.734,275.761,0.0,0.0198357,0,0.0,618.089
338.153,274.231,0.0,0.0224322,0,0.0,621.089
335.68,272.533,0.0,0.0250086,0,0.0,624.089
333.341,270.654,0.0,0.0270372,0,0.0,627.089
331.168,268.587,0.0,0.0279015,0,0.0,630.089
329.171,266.348,0.0,0.0279557,0,0.0,633.088
327.376,263.945,0.0,0.0272348,0,0.0,636.088
325.779,261.406,0.0,0.0255154,0,0.0,639.088
324.39,258.747,0.0,0.0225945,0,0.0,642.088
323.178,256.002,0.0,0.0195278,0,0.0,645.088
322.133,253.19,0.0,0.0164443,0,0.0,648.088
321.227,250.33,0.0,0.0132694,0,0.0,651.088
320.433,247.436,0.0,0.0106996,0,0.0,654.089
319.732,244.519,0.0,0.00821187,0,0.0,657.089
319.106,241.584,0.0,0.00593438,0,0.0,660.09
318.525,238.64,0.0,0.00459507,0,0.0,663.09
317.988,235.688,0.0,0.00327349,0,0.0,666.091
317.481,232.731,0.0,0.00206392,0,0.0,669.092
316.986,229.771,0.0,0.00158813,0,0.0,672.092
316.51,226.809,0.0,0.000946735,0,0.0,675.093
316.04,223.845,0.0,0.000555347,0,0.0,678.093
315.573,220.881,0.0,0.000526436,0,0.0,681.094
315.114,217.916,0.0,0.000371199,0,0.0,684.095
314.655,214.95,0.0,0.000119292,0,0.0,687.095
314.201,211.984,0.0,-0.000206398,0,0.0,690.096
313.74,209.019,0.0,-8.77871e-06,0,0.0,693.097
313.281,206.054,0.0,0.000274528,0,0.0,696.097
312.826,203.088,0.0,-3.49077e-05,0,0.0,699.098
312.371,200.122,0.0,-0.000316122,0,0.0,702.099
311.91,197.157,0.0,-0.000328414,0,0.0,705.099
311.449,194.192,0.0,-0.000442511,0,0.0,708.1
310.983,191.228,0.0,-0.000658104,0,0.0,711.101
310.512,188.264,0.0,-0.00095828,0,0.0,714.101
310.032,185.302,0.0,-0.00161421,0,0.0,717.102
309.541,182.342,0.0,-0.00254907,0,0.0,720.103
309.024,179.386,0.0,-0.00351596,0,0.0,723.103
308.479,176.436,0.0,-0.00458666,0,0.0,726.104
307.891,173.493,0.0,-0.00592515,0,0.0,729.104
307.255,170.561,0.0,-0.00755694,0,0.0,732.105
306.549,167.644,0.0,-0.00930909,0,0.0,735.105
305.766,164.748,0.0,-0.0113135,0,0.0,738.106
304.883,161.88,0.0,-0.0131618,0,0.0,741.107
303.887,159.05,0.0,-0.0141927,0,0.0,744.107
302.768,156.266,0.0,-0.0145917,0,0.0,747.107
301.529,153.533,0.0,-0.0150298,0,0.0,750.108
300.17,150.858,0.0,-0.0147451,0,0.0,753.108
298.685,148.251,0.0,-0.0135832,0,0.0,756.109
297.104,145.701,0.0,-0.0127306,0,0.0,759.109
295.419,143.218,0.0,-0.0111666,0,0.0,762.11
293.653,140.792,0.0,-0.00935026,0,0.0,765.11
291.824,138.414,0.0,-0.00799957,0,0.0,768.111
289.932,136.085,0.0,-0.00655264,0,0.0,771.111
288.002,133.788,0.0,-0.00529076,0,0.0,774.112
286.029,131.527,0.0,-0.00412111,0,0.0,777.113
284.034,129.285,0.0,-0.00328661,0,0.0,780.113
